folio,year,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1,p2g,p2n,p3,p3_1,p3_2,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p7_4,p7_4_1,p8,p8_1,p9_1,p9_2,p9_3,p9_4,p10,p11,p11_1d,p11_1m,P11_1u,p11_2e,p11_2m,P11_2l,P11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18,p18_1,p19e1,P19l1,P19u1,p19e2,P19l2,P19u2,p20e,P20l,P20u,p21c,p21t,p22,p22_1,p22_2e,p22_2m,P22_2l,P22_2u,p22_4,p22_5,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_1_6,p24_1_7,p24_1_8,p24_1_9,p24_1_10,p24_1_11,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27c,p27u,p27_1,p28,p28_1c,p28_1u,p28_1_1,p28_2,p29,p29_1,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p33_1_3,p33_2,p34,p34_1,p35es,p35cn,p35cd,p35_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_1_7,p35_2_1_8,p35_2_1_9,p35_2_1_10,p35_2_1_11,p35_3c,p35_3t,p35_4,p35_5,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p51,p51_1_1,p51_1_2,p51_1_3,p51_1_4,p51_1_5,p51_1_6,p51_1_7,p51_1_8,p51_1_9,p51_1_10,p51_1_11,filtro,ponfin3,t3mp1_1,t3mp1_2,t3mp1_3,t3mp1_4,t3mp1_5,t3mp1_6,t3mp2,t3mp3,t3mp4_1,t3mp4_2,t3mp4_3,t3mp4_4,t3mp4_5,t3mp4_6,t3mp4_7,t3mp5,t3mp6_1,t3mp6_2,t3mp6_3,t3mp6_4,t3mp6_5,t3mp6_6,t3mp7
1,2015,3,21507,1,1,1,1,21,1,1,3,4,2,2,2,2,-1,6,2,2,3,1,2,1,8,5,8,3,-2,2,2,1,2,2,2,1,1,3,304,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,421,2,2,2,2,2,2,2,2,2,8,6,350,3,5,435,1,1217001,1,2,-2,1,4000,3,0,0,9,90030001,2,19,190390001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,25,2,1,3,4200,3,2,2,-2,-2,-2,-2,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,14,2,1,1,48,48215,4821545384,14,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
1,2015,1,61501,1,1,1,1,19,1,1,2,4,2,2,2,2,-1,6,2,2,4,1,2,5,8,1,8,3,-2,2,2,1,2,2,2,1,1,2,210,99,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,2,-2,-2,0,0,7,70090001,2,28,280320001,2,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,2,4000,4,2,2,-2,-2,-2,-2,0,0,2,3,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,2,1,1,48,48215,4821545384,1,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,12,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
2,2015,3,21507,1,1,1,1,18,1,1,3,3,2,2,2,2,-1,6,2,2,7,4,2,1,8,8,8,3,-2,2,2,1,2,2,2,1,1,11,1109,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,263,1,2,2,2,2,2,2,2,2,5,6,40,3,3,811,1,1305024,3,2,-2,1,4000,3,0,0,19,190390001,2,9,90030001,2,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,3,8000,3,1,1,4000,3,4,1,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,20,2,1,1,48,48215,4821545384,20,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
2,2015,1,61501,1,1,1,1,21,1,1,3,3,2,2,2,2,-1,6,2,2,3,2,2,1,8,3,8,3,-2,2,2,1,2,1,2,1,1,9,904,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,1,2,-2,1,3500,3,0,0,7,70090001,2,28,280320001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,2,2,2,1,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,3,3500,3,1,1,3500,3,6,1,0,0,2,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4,1,1,48,48215,4821545384,1,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,12,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
3,2015,3,21507,1,1,1,1,22,1,1,2,4,2,2,2,2,-1,6,2,2,6,3,2,1,8,5,8,3,-2,2,2,1,2,1,2,1,1,3,301,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,922,2,2,2,2,2,2,2,2,2,8,4,150,3,4,236,1,1217001,1,2,-2,1,3500,3,0,0,7,70090001,2,9,90030001,2,28,280320001,2,18,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,3,7000,3,1,1,3500,3,2,1,0,0,1,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,6,3,2,2,2,1,1,2,2,2,2,2,2,16,2,1,2,48,48215,4821545384,16,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
3,2015,1,61501,1,1,1,2,44,1,1,2,3,2,2,2,2,-1,6,2,4,3,1,1,1,8,1,1,2,-1,2,2,1,2,2,2,1,1,6,604,99,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,2,-2,-2,0,0,7,70090001,2,28,280320001,2,28,280320001,2,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,11,2,1,2,3000,3,2,2,-2,-2,-2,-2,0,0,2,4,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,1,1,48,48215,4821545384,2,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,11,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
4,2015,3,21507,1,1,1,1,28,1,1,3,3,2,2,2,2,-1,6,2,2,5,3,2,1,8,5,8,3,-2,2,2,1,2,2,2,1,1,12,1219,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,922,2,2,2,2,2,2,2,2,2,8,6,12,3,2,236,1,1217001,1,2,-2,2,-2,-2,0,0,19,190390001,2,28,280320001,2,28,280320001,2,30,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,10,2,1,2,1500,3,2,1,1000,3,2,3,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9,2,2,2,48,48215,4821545384,9,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
4,2015,1,61501,1,1,1,1,34,1,1,3,3,2,2,2,2,-1,5,1,-1,3,1,1,1,1,5,1,2,-1,2,2,1,2,2,2,1,1,8,821,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,712,6,2,2,2,2,2,2,2,2,8,6,12,3,2,236,1,1217001,3,2,-2,2,-2,-2,0,0,7,70090001,2,28,280380001,2,7,70890001,2,1,3,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,2,3000,3,2,1,2000,3,6,3,0,0,2,2,2,-2,2,-2,2,0,-3,-3,-3,0,2,0,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4,1,1,48,48215,4821545384,1,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,11,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
5,2015,3,21507,1,1,1,1,35,1,1,3,3,2,2,2,2,-1,1,1,-1,5,2,1,1,1,5,1,2,-1,2,2,1,2,2,2,1,1,6,602,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,1,2,-2,1,3000,3,0,0,19,190390001,2,9,90030001,2,28,280320001,2,13,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,3,6000,3,1,1,3000,3,2,1,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48479,4847941464,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,16,2,1,2,48,48479,4847941464,16,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,2,2,2,2,1,1,2,2,2,2,2,2,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
5,2015,1,61501,1,1,1,2,18,1,1,2,4,2,2,2,2,-1,6,2,2,3,1,2,1,8,1,8,3,-2,2,2,1,2,1,2,1,1,11,1117,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,2000,3,0,0,7,71010001,2,28,280320001,2,28,280320001,2,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,4,2,1,3,2000,3,2,1,2000,3,6,1,0,0,2,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,26,2,1,1,48,48215,4821545384,26,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,12,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
6,2015,3,21507,1,1,1,1,33,1,1,3,3,2,2,2,2,-1,6,2,2,3,1,2,5,8,5,8,3,-2,2,2,1,2,1,2,1,1,10,1011,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,834,2,2,2,2,2,2,2,2,2,9,6,125,3,3,485,1,1217001,1,2,-2,1,4000,3,0,4,7,71010001,2,30,300030001,2,28,280320001,2,22,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,10,2,1,3,8000,3,1,1,4000,3,2,1,0,0,1,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48479,4847941464,7,3,2,2,2,1,1,2,2,2,2,2,2,9,2,1,2,48,48479,4847941464,9,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,3,3,2009,6,2015,0,0,-3,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
6,2015,1,61501,1,1,1,2,28,1,1,5,5,2,2,2,2,-1,6,2,2,3,2,2,1,8,8,8,3,-2,2,2,1,2,1,2,1,1,5,517,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1312047,3,2,-2,1,999999,99,0,0,7,71010001,2,21,211140001,2,7,71010001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,3,999999,99,2,1,999999,99,6,1,0,0,3,4,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,26,2,1,1,48,48215,4821545384,26,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,12,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
7,2015,3,21507,1,1,1,1,29,1,1,2,4,2,2,2,2,-1,1,1,-1,3,2,1,1,1,5,1,2,-1,2,2,1,2,1,2,1,1,11,1116,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,3,2,2,2,2,2,2,2,2,6,5,0,0,0,111,1,1705099,1,2,-2,1,3000,3,0,0,7,70090001,2,9,90030001,2,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,12,2,1,3,6000,3,1,1,3000,3,2,1,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,15,2,1,2,48,48215,4821545384,15,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2006,6,2015,0,0,-3,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
7,2015,1,61501,1,1,1,1,30,1,1,2,4,2,2,2,2,-1,6,2,2,5,4,2,1,8,1,8,3,-2,2,2,1,2,2,2,1,1,5,519,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,2,-2,-2,0,0,24,240050001,2,7,70890001,2,7,70890001,2,11,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,2,100,3,2,2,-2,-2,-2,-2,0,0,2,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4,1,1,48,48215,4821545384,1,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,11,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
8,2015,1,61501,1,1,1,2,23,1,1,2,4,2,2,2,1,2,6,2,2,6,3,2,1,8,1,3,1,3,2,2,2,2,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,48,48201,4820135000,20,4,1,-2,1,-3,962,1,2,2,2,2,2,2,2,2,6,6,7,3,1,813,1,1217001,3,2,-2,2,-2,-2,0,0,97,999999997,97,97,999999997,97,97,999999997,97,997,97,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,999999997,997,97,97,97,999997,97,97,97,999997,97,97,97,0,0,2,4,1,1,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48201,4820135000,4,4,2,2,2,2,1,2,2,2,2,2,2,2,4,1,1,48,48215,4821545384,20,5,1,962,6,6,7,3,1,813,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,9,1994,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
8,2015,3,21507,1,1,1,1,18,1,1,2,3,2,2,2,2,-1,6,2,2,7,4,2,1,8,5,8,3,-2,2,2,1,2,2,2,1,1,1,108,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,3,2,2,2,2,2,2,2,2,6,5,0,0,0,111,1,1217001,1,2,-2,1,2500,3,0,0,24,240280001,2,28,280320001,2,28,280320001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,3,2500,3,1,2,-2,-2,-2,-2,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,3,2,2,2,1,1,2,2,2,2,1,2,14,2,1,1,48,48215,4821545384,14,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
9,2015,1,61501,1,1,1,2,22,1,1,1,4,2,2,2,2,-1,6,2,2,5,2,2,1,8,1,8,3,-2,2,2,1,2,2,2,1,1,4,408,99,-2,-2,-2,-2,-2,-2,-2,0,5,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1217001,3,2,-2,2,-2,-2,0,0,9,90030001,2,7,70090001,2,28,280320001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,4,2,1,2,3000,3,2,2,-2,-2,-2,-2,0,0,2,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,1,1,48,48215,4821545384,2,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,11,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
9,2015,3,21507,1,1,1,1,32,1,1,2,3,2,2,2,2,-1,6,2,2,2,1,2,1,8,5,8,3,-2,2,2,1,2,1,2,1,1,13,1302,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1305024,3,2,-2,2,-2,-2,0,0,7,70090001,2,5,50250001,2,5,50250001,2,14,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50250001,4,2,1,2,3850,3,2,1,1500,3,2,3,0,0,2,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48479,4847941464,4,3,2,2,2,1,1,2,2,2,2,1,2,20,2,1,2,48,48479,4847941464,20,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2000,6,2015,0,0,-3,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-1,-1,-1,-1,-1,-1,-1
10,2015,3,21507,1,1,1,1,20,1,2,0,1,2,2,2,2,-1,1,1,-1,3,1,1,1,1,5,1,2,-1,2,2,1,2,2,2,1,1,5,502,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,3,2,2,2,2,2,2,2,2,6,6,0,0,0,111,1,1305024,3,2,-2,2,-2,-2,0,0,7,70890001,2,28,280320001,2,28,280320001,2,22,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,13,2,1,2,500,3,2,2,-2,-2,-2,-2,0,0,2,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,3,2,2,2,1,1,2,2,2,2,2,2,15,2,1,1,48,48215,4821545384,15,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,7.731320486,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
10,2015,1,61501,1,1,1,2,35,1,1,3,4,2,2,2,2,-1,6,2,2,8,1,2,1,8,5,1,2,-1,2,2,1,2,2,2,1,1,10,1010,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,2500,3,0,0,7,70090001,2,99,999999999,99,28,280320001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,3,5000,3,2,1,2500,3,6,1,0,0,2,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48141,4814124000,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,1,1,48,48141,4814124000,2,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,10,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
11,2015,1,61501,1,1,1,2,24,1,1,3,4,2,2,2,2,-1,5,2,1,5,1,2,1,1,5,1,2,-1,2,2,1,2,2,2,1,1,5,518,1,-2,-2,-2,-2,-2,-2,-2,0,5,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1217001,3,2,-2,1,3500,3,0,0,7,70090001,2,28,280320001,2,28,280320001,2,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,2,5000,3,2,1,3500,3,6,1,0,0,2,2,1,1,1,3,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,1,1,48,48215,4821545384,2,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,10,2014,0,0,-3,1,-3,98,98,98,98,98,98,98,98,98,98,98,98,1,17.08333333, , , , , , , , , , , , , , , , , , , , , , , 
