"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","cp21a","cp22","cp23","cp24","cp25","cp26","escp27","escp28n","escp29","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","cpol1","cpol2","cpol3","cpol4","ico2","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj18","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b20","b21","b21a","b32","b37","b47a","esb48","paz1","paz4","paz5","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","epn3a","epn3b","epn3c","e5","e15","e16","d1","d2","d3","d4","d5","d6","dem11","aut1","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","exc7","diso7","diso8","diso10","diso18","diso14","diso16","diso17","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar4f","vicbar7","vicbar7f","fear10","vic44","vb1","vb2","elsvb2n","elsvb3u","elsvb48","vb10","eref6","pol1","vb20","vb49","clien1na","for5","mil10a","mil10e","dvw1","dvw2","wf1","cct1b","ed","ed2","mov1","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","pr1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4","elsvb12","elsvb13"
"1:1","El Salvador",541,25,"Chalatenango",300025,75,"Urbano","Ciudad mediana",1,1,"Región 3 (Central 2)",NA,NA,26,2,2,5,2,2,2,2,2,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,3,3,3,6,4,3,6,7,5,4,4,3,3,4,4,5,5,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,2,6,3,2,2,3,NA,3,4,4,3,4,6,5,5,4,4,1,1,1,1,0,0,NA,NA,0,NA,NA,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,1,5,1,4,1,1,2,2,NA,NA,NA,3,2,5,2,NA,1,0,1,2,1,0,0,1,1,0,0,1,0,4,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:2","El Salvador",857,33,"San Salvador",300033,128,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 1 (Occidental)",NA,NA,21,2,2,1,2,1,2,3,2,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,1,2,4,4,5,4,4,5,7,4,4,5,3,4,3,4,4,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,4,6,5,7,5,2,NA,3,4,4,9,6,5,9,7,6,5,5,1,2,2,0,0,NA,NA,NA,NA,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,4,3,2,4,NA,2,1,3,1,NA,NA,NA,1,7,4,1,NA,0,1,1,0,0,0,0,1,1,0,0,1,0,5,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:3","El Salvador",1394,57,"San Miguel",300057,204,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,39,2,1,5,2,2,2,3,1,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,4,2,4,4,3,5,7,6,7,5,4,3,2,6,3,6,3,4,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,7,4,5,2,2,NA,3,4,3,1,1,1,2,4,4,5,1,1,2,2,0,0,NA,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,5,NA,1,2,3,2,NA,NA,NA,2,7,5,4,NA,1,1,1,0,0,0,0,1,1,0,0,1,1,5,1,4,3,NA,2,2010,NA,NA,NA,NA,NA
"1:4","El Salvador",1268,52,"Usulután",300052,186,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,18,2,2,4,3,3,2,2,4,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,4,1,3,4,6,5,7,5,7,6,4,4,7,1,2,6,6,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,6,6,2,3,2,NA,3,3,3,3,1,1,3,4,4,4,1,1,2,2,0,0,NA,NA,NA,NA,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,1,5,5,NA,2,2,4,2,NA,NA,NA,1,1,5,1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,6,3,NA,2,2010,NA,NA,NA,NA,NA
"1:5","El Salvador",752,31,"San Salvador",300031,108,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 1 (Occidental)",NA,NA,72,2,2,5,3,3,2,2,4,4,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,1,2,4,5,6,3,7,5,7,4,6,6,3,7,2,6,4,3,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,6,6,5,6,5,2,NA,1,4,1,3,3,7,5,7,6,8,2,1,2,2,0,0,NA,NA,0,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,1,1,5,NA,2,2,4,2,NA,NA,NA,5,5,5,1,NA,1,0,1,0,0,0,0,1,1,0,0,1,0,3,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:6","El Salvador",605,30,"La Libertad",300030,83,"Urbano","Ciudad pequeña",1,1,"Región 4 (Oriental)",NA,NA,64,2,2,57,3,3,2,3,1,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,4,NA,NA,4,NA,1,4,3,2,6,1,7,7,2,4,5,7,2,5,7,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,5,4,7,6,2,1,NA,4,4,4,2,2,8,4,1,4,6,10,9,1,1,0,0,NA,0,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,5,NA,1,2,3,3,NA,NA,NA,4,3,5,1,NA,1,1,0,0,0,0,0,1,1,0,0,1,0,5,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:7","El Salvador",1057,41,"San Salvador",300041,161,"Rural","Área rural",1,1,"Región 3 (Central 2)",NA,NA,37,1,3,5,3,2,2,4,4,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,1,1,5,6,5,6,5,6,6,5,5,5,4,5,6,4,4,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,5,5,4,4,2,NA,2,3,3,8,2,4,3,6,2,2,4,1,1,2,0,0,NA,NA,0,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,2,2,1,4,2,1,3,2,NA,NA,NA,2,2,5,1,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,5,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:8","El Salvador",1019,39,"San Salvador",300039,156,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 2 (Central 1)",NA,NA,29,1,1,5,2,3,1,2,4,4,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,2,3,1,3,1,1,6,7,1,1,1,3,4,1,6,6,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,6,6,4,5,6,2,NA,1,3,2,10,7,10,7,8,4,5,8,10,2,2,0,0,NA,0,NA,0,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,4,1,5,3,NA,2,2,3,2,NA,NA,NA,1,3,2,1,NA,1,1,1,0,0,0,0,1,1,1,0,1,0,5,1,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:9","El Salvador",1060,41,"San Salvador",300041,161,"Rural","Área rural",1,1,"Región 3 (Central 2)",NA,NA,28,2,1,1,2,2,2,2,1,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,4,1,3,5,7,6,7,7,7,6,6,5,5,3,1,4,6,5,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,3,5,4,3,4,2,NA,3,3,2,6,6,3,5,6,5,6,2,1,1,2,0,0,NA,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,1,5,1,2,2,2,2,2,NA,NA,NA,0,3,5,4,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,4,1,6,3,NA,2,2010,NA,NA,NA,NA,NA
"1:10","El Salvador",1448,60,"Morazán",300060,210,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,76,2,3,4,2,2,2,2,1,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,NA,2,5,6,2,3,4,7,2,5,NA,1,6,4,6,5,5,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,5,NA,3,NA,NA,4,4,4,3,1,6,5,4,1,5,3,2,2,2,0,0,NA,NA,NA,NA,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,6,NA,2,2,2,2,NA,NA,NA,0,4,5,2,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:11","El Salvador",592,29,"La Libertad",300029,82,"Rural","Área rural",1,1,"Región 3 (Central 2)",NA,NA,71,1,2,5,3,2,2,5,1,4,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,3,NA,NA,2,3,2,5,6,6,5,7,7,5,6,5,5,3,5,7,6,6,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,4,4,6,6,6,2,NA,2,1,4,3,1,3,6,7,5,6,1,1,2,1,0,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,5,2,5,2,2,4,3,NA,NA,NA,3,7,5,1,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,5,3,NA,1,2010,NA,NA,NA,NA,NA
"1:12","El Salvador",390,17,"Sonsonate",300017,54,"Rural","Área rural",1,1,"Región 3 (Central 2)",NA,NA,60,2,1,5,3,3,2,5,1,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,1,1,7,1,2,7,1,7,5,7,6,6,4,3,7,5,5,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,7,5,5,5,5,4,NA,4,4,4,1,7,7,10,10,7,7,7,7,1,2,0,0,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,1,5,5,NA,2,2,4,3,NA,NA,NA,7,7,5,5,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,5,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:13","El Salvador",284,12,"Sonsonate",300012,40,"Urbano","Ciudad grande",1,1,"Región 1 (Occidental)",NA,NA,33,1,2,5,2,2,2,2,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,4,2,4,2,4,4,4,5,7,4,5,4,5,2,4,4,5,5,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,4,7,5,5,6,2,NA,2,3,2,8,1,1,4,6,6,6,4,3,1,2,1,0,NA,0,0,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,4,3,1,1,2,2,1,2,2,NA,NA,NA,1,2,3,1,NA,1,1,1,0,1,1,0,1,1,1,1,1,0,3,1,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:14","El Salvador",562,27,"Chalatenango",300027,78,"Urbano","Ciudad mediana",1,1,"Región 3 (Central 2)",NA,NA,54,1,3,5,3,3,2,5,4,4,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,2,2,4,4,7,5,6,6,7,5,4,4,4,4,2,4,6,7,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,2,5,7,2,2,3,NA,4,4,4,5,1,7,9,9,3,8,1,1,2,2,0,0,NA,0,0,NA,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,4,4,3,NA,1,2,3,3,NA,NA,NA,2,NA,5,1,NA,1,0,1,1,0,0,0,1,0,0,0,1,0,3,1,6,3,NA,1,2010,NA,NA,NA,NA,NA
"1:15","El Salvador",609,30,"La Libertad",300030,84,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,35,1,3,5,1,1,2,2,1,2,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,3,2,2,5,5,5,4,7,7,5,6,5,5,7,5,7,6,5,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,7,7,6,4,2,NA,2,3,2,10,3,10,8,9,1,4,5,1,2,2,0,0,NA,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,3,1,1,2,4,2,1,2,2,NA,NA,NA,1,7,4,1,NA,1,1,1,0,0,1,0,1,1,0,0,1,0,7,1,5,3,NA,1,2010,NA,NA,NA,NA,NA
"1:16","El Salvador",1525,65,"La Unión",300065,220,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,57,1,1,5,2,2,1,2,1,2,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,4,1,3,5,7,5,7,7,7,7,7,5,5,7,5,7,6,6,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,5,7,3,2,1,NA,2,2,2,10,1,1,2,1,1,1,10,1,2,2,0,0,NA,0,0,NA,NA,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,1,1,1,4,1,2,2,2,NA,NA,NA,6,2,5,1,NA,1,1,1,0,0,0,0,1,1,0,0,1,1,3,2,3,3,NA,1,2010,NA,NA,NA,NA,NA
"1:17","El Salvador",1438,60,"Morazán",300060,209,"Urbano","Ciudad pequeña",1,1,"Región 4 (Oriental)",NA,NA,49,2,2,5,1,2,2,3,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,2,3,2,5,7,7,7,7,5,5,5,5,6,7,3,4,2,5,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,6,5,4,1,2,NA,3,4,4,1,2,5,5,3,3,5,5,5,1,2,0,0,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,1,1,5,NA,1,2,3,2,NA,NA,NA,2,7,5,4,NA,1,1,1,0,0,1,0,1,0,0,0,1,0,3,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:18","El Salvador",286,12,"Sonsonate",300012,40,"Urbano","Ciudad grande",1,1,"Región 1 (Occidental)",NA,NA,31,1,1,5,2,2,2,2,4,2,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,3,1,3,3,7,5,6,6,7,6,5,6,4,5,5,6,6,6,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,6,5,4,5,2,NA,3,3,3,4,3,5,4,5,6,5,2,1,2,2,0,0,NA,0,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,5,1,5,1,3,2,1,2,2,NA,NA,NA,2,2,5,1,NA,1,0,0,1,0,0,0,1,0,0,0,1,0,4,1,4,3,NA,1,2010,NA,NA,NA,NA,NA
"1:19","El Salvador",811,32,"San Salvador",300032,119,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 1 (Occidental)",NA,NA,33,2,2,5,3,2,2,3,2,2,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,2,NA,4,4,6,2,5,4,7,6,7,6,2,1,1,5,2,3,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,5,3,5,1,5,3,NA,4,4,4,5,1,6,7,6,5,7,6,1,2,2,0,0,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,1,5,5,NA,2,2,2,3,NA,NA,NA,2,1,5,1,NA,1,0,1,0,0,0,1,1,1,0,0,1,0,3,2,6,3,NA,2,2010,NA,NA,NA,NA,NA
"1:20","El Salvador",457,20,"Sonsonate",300020,62,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,44,2,1,56,2,3,2,3,1,2,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,4,3,1,5,6,4,7,2,7,7,7,5,7,1,4,7,7,4,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,4,6,7,4,2,NA,4,4,4,7,4,6,8,3,9,2,1,1,1,2,0,0,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,5,NA,1,2,4,3,NA,NA,NA,4,2,5,1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,4,2,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:21","El Salvador",317,13,"Sonsonate",300013,45,"Urbano","Ciudad mediana",1,1,"Región 2 (Central 1)",NA,NA,38,1,2,14,2,2,2,5,2,3,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,3,2,4,2,1,1,1,1,7,1,1,1,1,2,1,2,2,1,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,1,6,2,1,4,3,NA,4,4,3,1,1,10,2,2,1,1,1,1,1,1,0,1,NA,0,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,3,1,1,2,4,2,2,2,1,NA,NA,NA,1,3,1,4,NA,1,1,1,2,0,1,0,1,1,1,1,1,0,3,2,4,3,NA,1,2010,NA,NA,NA,NA,NA
"1:22","El Salvador",174,6,"Santa Ana",300006,26,"Rural","Área rural",1,1,"Región 1 (Occidental)",NA,NA,53,2,1,5,3,3,2,2,1,2,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,3,1,7,5,6,7,6,7,3,7,5,5,2,1,3,6,5,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,6,6,6,2,5,1,NA,1,2,1,3,1,2,8,4,6,7,1,1,1,1,0,0,NA,NA,NA,NA,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,5,5,NA,2,2,2,2,NA,NA,NA,4,2,5,1,NA,1,1,0,1,0,0,0,1,0,1,0,1,1,5,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:23","El Salvador",524,24,"Chalatenango",300024,73,"Urbano","Ciudad mediana",1,1,"Región 2 (Central 1)",NA,NA,22,2,1,5,2,2,2,4,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,1,3,3,3,7,3,3,5,2,4,7,1,5,7,2,7,1,4,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,1,6,6,4,6,2,NA,3,4,4,10,6,2,10,10,8,8,8,1,2,2,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,1,1,4,NA,2,2,2,2,NA,NA,NA,0,2,2,1,NA,1,0,1,0,0,0,0,1,0,0,0,1,0,4,1,3,3,NA,2,2010,NA,NA,NA,NA,NA
"1:24","El Salvador",1470,62,"La Unión",300062,213,"Urbano","Ciudad mediana",1,1,"Región 2 (Central 1)",NA,NA,23,2,2,5,1,2,2,2,4,2,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,2,1,1,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,7,5,6,3,1,NA,2,2,1,10,10,9,10,3,1,2,1,1,2,2,0,0,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,1,1,5,NA,2,2,2,2,NA,NA,NA,2,2,5,1,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:25","El Salvador",624,30,"La Libertad",300030,85,"Rural","Área rural",1,1,"Región 4 (Oriental)",NA,NA,40,2,2,1,1,2,2,2,4,3,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,3,1,4,5,6,1,6,5,7,5,3,4,4,7,3,5,5,6,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,2,6,4,2,3,2,NA,3,3,2,7,1,2,5,5,5,4,6,1,1,2,0,0,NA,0,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,5,NA,1,2,3,3,NA,NA,NA,7,2,5,2,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,5,1,5,3,NA,2,2010,NA,NA,NA,NA,NA
"1:26","El Salvador",1450,61,"Morazán",300061,211,"Urbano","Ciudad pequeña",1,1,"Región 4 (Oriental)",NA,NA,23,1,2,4,2,2,2,4,4,2,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,4,2,3,5,4,4,2,4,7,3,3,3,4,5,3,5,3,2,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,6,7,6,6,6,3,NA,2,3,4,10,10,8,10,10,8,8,9,2,2,1,0,0,NA,NA,0,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,5,3,4,1,4,2,2,3,2,NA,NA,NA,1,2,3,2,NA,1,0,1,0,0,0,0,1,0,1,0,1,0,3,1,5,3,NA,1,2010,NA,NA,NA,NA,NA
