folio,year,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p3_2,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p7_4,p7_4_1,p8,p8_1,p9_1,p9_2,p9_3,p10p,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p18_7,p18_8,p18_9,p18_10,p18_11,p18_12,p18_13,p18_14,p19e1,p19l1,p19u1,p19e2,p19l2,p19u2,p20e,p20l,p20u,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2l,p22_2u,p22_4,p22_5,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p24_4,p24_5,p24_6,p24_7,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_2_1,p24_2_2,p24_2_3,p24_2_4,p24_2_5,p24_2_6,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27c,p27u,p27_1,p28,p28_1c,p28_1u,p28_1_1,p28_2,p29_1,p29_2,p29_3,p29_4,p29_5,p29_6,p29_7,p29_8,p29_9,p29_10,p29_11,p29_12,p29_13,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p33_1_3,p33_2,p34,p35es,p35cn,p35cd,p35_1,p35_2,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_3_5,p35_3_6,p35_3_7,p35_4c,p35_4t,p35_5,p35_6,p35_7,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p38_5_1_1,p38_5_1_2,p38_5_1_3,p38_5_1_4,p38_5_1_5,p38_5_1_6,p38_5_1_7,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,filtro,ponfin3
389,2016,3,211607,1,1,1,1,64,1,2,1,1,2,2,2,2,-1,5,1,-1,8,1,1,0,1,1,1,2,-2,2,2,1,2,2,2,2,15,1522,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,8,6,100,1,2,111,2,1,1705015,3,2,-2,2,-2,-2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,7,70270001,2,30,301930001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,1,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,1,2,1,6,2500,3,1,1,2000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,5,2,2,2,2,2,2,2,2,12,2,2,1,2,48,48215,4821545384,12,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,7,2016,0,0,-3,1,-3,-3,1,23.911872
392,2016,3,211607,1,1,1,1,19,1,3,3,-1,2,2,2,1,2,6,2,3,4,0,2,3,0,5,0,-1,-1,2,2,1,2,1,2,2,16,1622,1,-2,-2,-2,-2,-2,-2,-2,555,5,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1705016,3,2,-2,1,6000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70270001,2,19,190390001,2,28,280320001,2,19,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,1,2,1,2,6500,3,1,1,6000,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,1,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,7,2,1,1,1,48,48215,4821545384,7,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,7,2016,0,0,-3,1,-3,-3,1,23.911872
393,2016,3,211607,1,1,1,1,36,1,5,1,1,2,2,2,2,-1,6,2,2,6,3,2,1,0,1,1,2,-2,2,2,1,2,2,2,2,2,202,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705015,3,2,-2,2,-2,-2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,7,70650001,2,27,270040001,2,28,280270001,2,28,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280270001,4,2,1,6,1000,3,2,2,-2,-2,-2,-2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,-2,3,0,-3,-3,-3,0,3,48,48479,4847941464,5,2,2,2,2,2,2,2,2,10,2,2,1,2,48,48479,4847941464,10,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,6,6,2001,7,2016,0,0,-3,6,2,2,1,23.911872
394,2016,3,211607,1,1,1,1,30,1,2,2,-1,2,2,2,2,-1,6,2,2,5,3,2,1,0,5,1,2,-2,2,2,1,2,2,2,2,1,103,99,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,19,190390001,2,24,240280001,2,28,280320001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,4,5000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,11,2,2,1,2,48,48215,4821545384,11,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,7,2016,0,0,-3,1,-3,-3,1,23.911872
395,2016,3,211607,1,1,1,1,25,1,3,2,-1,2,2,2,2,-1,6,2,2,8,3,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,6,601,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,7,6,120,1,2,111,2,1,1217001,3,2,-2,1,5000,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,27,270170001,2,24,240280001,2,24,240280001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,4,5000,3,1,1,5000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,1,2,2,2,2,2,2,8,2,2,1,2,48,48215,4821545384,8,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,7,2016,0,0,-3,1,-3,-3,1,23.911872
400,2016,2,291604,1,1,1,1,28,1,3,2,-1,2,2,2,2,-1,6,2,2,5,0,2,1,0,1,1,2,-2,2,2,1,2,2,2,2,4,401,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705099,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70090001,2,28,280320001,2,28,280320001,2,26,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,98,6000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,15,2,2,2,2,48,48215,4821545384,15,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
401,2016,2,291604,1,1,1,1,39,1,1,2,-1,2,2,2,2,-1,6,1,-1,1,-1,-1,5,0,5,1,2,-2,2,2,1,2,2,2,2,1,101,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,712,1,2,2,2,2,2,2,2,2,11,6,300,1,2,238,2,1,1705099,3,2,-2,1,6000,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,19,190390001,2,7,70270001,2,28,280320001,2,19,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,3,6000,3,1,1,6000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,5,2,2,1,2,48,48215,4821545384,5,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
402,2016,2,291604,1,1,1,1,22,1,2,2,-1,2,2,2,2,-1,6,2,2,8,3,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,14,1415,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705015,3,2,-2,2,-2,-2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,19,190390001,2,21,211140001,2,19,190390001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,98,6000,1,2,2,-2,-2,-2,-2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,9,2,2,2,2,48,48215,4821545384,9,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
403,2016,2,291604,1,1,1,1,31,1,6,1,1,2,2,2,2,-1,6,2,2,2,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,4,421,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705016,3,2,-2,1,7000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,300280037,2,7,70270001,2,19,190390001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,98,7000,3,1,1,7000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,12,2,2,2,2,48,48215,4821545384,12,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
404,2016,1,271601,1,1,1,1,24,1,3,2,-1,2,2,2,2,-1,1,1,-1,3,2,1,1,99,1,0,-1,-1,2,2,1,2,2,2,2,1,108,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70270001,2,19,190390001,2,28,280220001,2,19,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280220001,2,2,1,99,6000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48061,4806110768,3,2,2,2,2,2,2,2,2,23,2,2,1,2,48,48061,4806110768,23,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,29.40835913
404,2016,2,291604,1,1,1,1,24,1,3,2,-1,2,2,2,2,-1,6,2,2,3,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,18,1804,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,190390001,2,28,280320001,2,28,280320001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,6,3000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,13,2,2,2,2,48,48215,4821545384,13,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
405,2016,1,271601,1,1,1,1,37,1,3,2,-1,2,2,2,2,-1,5,1,-1,3,2,1,1,1,1,1,2,-2,2,2,1,2,2,2,2,2,209,99,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,421,6,2,2,2,2,2,2,2,2,10,6,200,1,2,722,2,1,1217001,3,2,-2,1,4000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70270001,2,19,190390001,2,28,280320001,2,26,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,4,4000,3,2,1,4000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,90,2,2,2,2,48,48215,4821545384,90,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,10,2015,0,0,-3,1,-3,-3,1,29.40835913
405,2016,2,291604,1,1,1,1,42,1,4,1,1,2,2,2,2,-1,6,1,-1,1,-1,-1,1,0,1,0,-1,-1,2,2,1,2,2,2,2,14,1413,97,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,613,6,2,2,2,2,2,2,2,2,11,6,120,1,2,111,2,1,1705016,3,2,-2,1,8000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,300390001,2,27,270170001,2,21,211140001,2,26,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280270001,4,2,1,4,8000,3,1,1,8000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,1,0,-3,-3,-3,0,1,48,48479,4847941464,3,2,2,2,2,2,2,2,2,16,2,2,1,2,48,48479,4847941464,16,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
406,2016,1,271601,1,1,1,1,36,1,2,3,-1,2,2,2,2,-1,6,2,2,4,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,6,601,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,1,5000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,30,301930001,2,30,301930001,2,23,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,4,5000,3,1,1,5000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,26,2,2,2,2,48,48215,4821545384,26,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,29.40835913
406,2016,2,291604,1,1,1,1,34,1,3,2,-1,2,2,2,2,-1,6,2,2,5,3,2,1,0,0,0,-1,-1,2,2,1,2,2,2,2,4,413,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705016,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,270170001,2,7,70270001,2,19,190390001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50250001,2,2,1,6,3500,3,2,1,1500,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48029,4802965000,4,2,2,2,2,2,2,2,2,12,2,2,1,2,48,48029,4802965000,12,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2009,4,2016,0,0,-3,2,2,2,1,16.02797203
407,2016,1,271601,1,1,1,2,38,1,2,3,-1,2,2,2,2,-1,6,2,2,5,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,18,1803,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705099,3,2,-2,1,3500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,999999999,99,28,280320001,2,28,280320001,2,21,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,4,3500,3,1,1,3500,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,1,97,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,21,2,2,2,2,48,48215,4821545384,21,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,22.34054073
407,2016,2,291604,1,1,1,1,26,1,2,2,-1,2,2,2,2,-1,6,2,2,6,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,1,105,2,-2,-2,-2,-2,-2,-2,-2,555,5,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1217001,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70650001,2,19,190390001,2,24,240200196,1,19,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50250001,2,2,1,4,6000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48029,4802965000,3,2,2,2,2,2,2,2,2,12,2,2,2,2,48,48029,4802965000,19,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,16.02797203
408,2016,1,271601,1,1,1,1,25,1,0,0,2,2,2,2,2,-1,6,2,2,6,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,4,403,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705016,3,2,-2,2,-2,-2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,24,240280001,2,30,301930001,2,30,301930001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,6,10000,1,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,12,2,2,2,2,48,48215,4821545384,12,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,29.40835913
408,2016,2,291604,1,1,1,1,41,1,3,2,-1,2,2,2,2,-1,6,2,2,6,2,2,1,0,1,0,-1,-1,2,2,1,2,2,2,2,2,204,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,999999999,99,14,140390001,2,5,50250001,2,19,2,2,2,-2,-2,-2,-2,-2,-2,1,2,1,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50250001,4,2,1,6,4000,3,1,1,3500,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48029,4802965000,3,2,2,2,2,2,2,2,2,3,4,2,2,2,48,48029,4802965000,3,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2011,1,2016,0,0,-3,2,1,2,1,16.02797203
409,2016,1,271601,1,1,1,1,26,1,1,2,-1,2,2,2,2,-1,1,1,-1,4,2,1,1,1,1,1,2,-2,2,2,1,2,1,2,2,15,1503,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,611,1,2,2,2,2,2,2,2,2,8,6,100,1,2,111,2,1,1217001,3,2,-2,1,4500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,19,190390001,2,28,280220001,2,28,280220001,2,29,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280220001,3,2,1,4,4500,3,1,1,4500,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48061,4806110768,3,2,2,2,2,2,2,2,2,15,2,2,1,2,48,48061,4806110768,15,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2009,1,2016,0,0,-3,2,1,1,1,29.40835913
409,2016,2,291604,1,1,1,1,31,1,6,1,1,2,2,2,2,-1,6,2,2,7,3,2,1,0,1,1,2,-2,2,2,1,2,2,2,2,8,801,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,2,-2,-2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,30,300390001,2,14,140390001,2,30,300090072,1,24,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,3,2,1,4,2000,3,1,1,1500,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,4,4,2,2,2,48,48215,4821545384,4,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,16.02797203
